,actor_1,actor_2,actor_3,country,director,genre_1,genre_2,imdb_link,rating_people,rating_score,runtime,screenwriter,star4,star5,title,year
23,维果·莫腾森,伊利亚·伍德,西恩·奥斯汀,www.lordoftherings.net/,彼得·杰克逊,剧情,动作,http://www.lordoftherings.net/,252284,9.1,201分钟,弗兰·威尔士,28.6%,62.8%,指环王3：王者无敌 The Lord of the Rings: The Return of the King,2003
24,亨利·方达,马丁·鲍尔萨姆,约翰·菲尔德,美国,西德尼·吕美特,剧情,,http://www.imdb.com/title/tt0050083,145272,9.3,96 分钟,雷金纳德·罗斯,23.2%,71.9%,十二怒汉 12 Angry Men,1957
25,奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,美国,威廉·惠勒,剧情,喜剧,http://www.imdb.com/title/tt0046250,337452,8.9,118 分钟,达尔顿·特朗勃,35.1%,56.1%,罗马假日 Roman Holiday,1953
26,玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,美国,罗伯·莱纳,剧情,喜剧,http://www.imdb.com/title/tt0817177,458498,8.9,90分钟(美国),罗伯·莱纳,35.7%,54.6%,怦然心动 Flipped,2010
27,田中真弓,鹫尾真知子,初井言荣,日本,宫崎骏,动画,奇幻,http://www.imdb.com/title/tt0092067,286638,9.0,124 分钟,宫崎骏,34.5%,57.5%,天空之城 天空の城ラピュタ,1986
28,刘德华,梁朝伟,黄秋生,香港,刘伟强,悬疑,惊悚,http://www.imdb.com/title/tt0338564,338025,8.9,101分钟,麦兆辉,36.3%,55.0%,无间道 無間道,2002
29,杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,英国,盖·里奇,剧情,喜剧,http://www.imdb.com/title/tt0120735,242737,9.0,107分钟,盖·里奇,31.7%,60.6%,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",1998
30,爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,美国,彼特·道格特,剧情,喜剧,http://www.imdb.com/title/tt1049413,444132,8.9,96分钟,鲍勃·彼德森,36.1%,54.3%,飞屋环游记 Up,2009
31,周星驰,吴孟达,罗家英,香港/中国大陆,刘镇伟,喜剧,动作,http://www.imdb.com/title/tt0112778,337137,8.9,87分钟,刘镇伟,33.1%,56.5%,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,1995
32,苏拉·沙玛,拉菲·斯波,伊尔凡·可汗,www.lifeofpimovie.com,李安,剧情,奇幻,http://www.lifeofpimovie.com,513686,9.0,127分钟,扬·马特尔,31.4%,60.7%,少年派的奇幻漂流 Life of Pi,2012
33,,,,,,,,,,,,,,,,
34,杰克·尼科尔森,丹尼·德维托,克里斯托弗·洛伊德,美国,米洛斯·福尔曼,剧情,,http://www.imdb.com/title/tt0073486,244457,9.0,133分钟,劳伦斯·奥邦,32.8%,59.1%,飞越疯人院 One Flew Over the Cuckoo's Nest,1975
35,姜文,香川照之,袁丁,中国大陆,姜文,剧情,战争,http://www.imdb.com/title/tt0245929,191870,9.1,139分钟,姜文,28.5%,64.0%,鬼子来了,2000
36,John Chisholm,Mandy-Rae Cruikshank,Charles Hambleton,www.thecovemovie.com,路易·西霍尤斯,纪录片,,http://www.thecovemovie.com,164772,9.3,92分钟,马克·蒙雷,22.5%,71.4%,海豚湾 The Cove,2009
37,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,thedarkknight.warnerbros.com,克里斯托弗·诺兰,剧情,动作,http://thedarkknight.warnerbros.com,271942,9.0,152分钟,乔纳森·诺兰,30.6%,59.5%,蝙蝠侠：黑暗骑士 The Dark Knight,2008
38,乌尔里希·穆埃,马蒂娜·戈黛特,塞巴斯蒂安·科赫,德国,弗洛里安·亨克尔·冯·多纳斯马,剧情,悬疑,http://www.imdb.com/title/tt0405094,188771,9.1,137分钟,弗洛里安·亨克尔·冯·多纳斯马,30.5%,62.6%,窃听风暴 Das Leben der Anderen,2006
39,葛优,巩俐,姜武,中国大陆/香港,张艺谋,剧情,家庭,http://www.imdb.com/title/tt0110081,218413,9.0,132分钟,余华,33.8%,58.4%,活着,1994
40,娜塔莉·波特曼,雨果·维文,鲁珀特·格雷夫斯,美国/英国/德国,詹姆斯·麦克特格,剧情,动作,http://www.imdb.com/title/tt0434409,355830,8.8,132分钟,莉莉·沃卓斯基,33.1%,54.8%,V字仇杀队 V for Vendetta,2005
41,阿尔·帕西诺,克里斯·奥唐纳,詹姆斯·瑞布霍恩,美国,马丁·布莱斯,剧情,,http://www.imdb.com/title/tt0105323,277093,8.9,157 分钟,博·古德曼,36.2%,54.4%,闻香识女人 Scent of a Woman,1992
42,奥黛丽·塔图,马修·卡索维茨,贾梅尔·杜布兹,法国/德国,让-皮埃尔·热内,喜剧,爱情,http://www.imdb.com/title/tt0211915,430912,8.7,122分钟,吉罗姆·洛朗,35.2%,51.6%,天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001
43,罗素·克劳,詹妮弗·康纳利,艾德·哈里斯,美国,朗·霍华德,剧情,传记,http://www.imdb.com/title/tt0268978,267525,8.9,135 分钟,阿齐瓦·高斯曼,38.0%,53.3%,美丽心灵 A Beautiful Mind,2001
44,伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,www.lordoftherings.net,彼得·杰克逊,剧情,动作,http://www.lordoftherings.net,239853,8.9,179分钟,弗兰·威尔士,33.0%,57.1%,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,2002
45,伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩,www.lordoftherings.net,彼得·杰克逊,剧情,动作,http://www.lordoftherings.net,267326,8.9,178分钟,弗兰·威尔士,33.4%,55.9%,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,2001
46,阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,美国,弗朗西斯·福特·科波拉,剧情,犯罪,http://www.imdb.com/title/tt0071562,161135,9.1,202分钟,马里奥·普佐,30.6%,62.1%,教父2 The Godfather: Part Ⅱ,1974
47,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,www.interstellarmovie.com,克里斯托弗·诺兰,剧情,科幻,http://www.interstellarmovie.com,410290,9.1,169分钟,乔纳森·诺兰,27.8%,64.5%,星际穿越 Interstellar,2014
48,倍赏千惠子,木村拓哉,美轮明宏,日本,宫崎骏,爱情,动画,http://www.imdb.com/title/tt0347149,295987,8.8,119分钟,宫崎骏,36.4%,52.7%,哈尔的移动城堡 ハウルの動く城,2004
49,摩根·弗里曼,布拉德·皮特,凯文·史派西,美国,大卫·芬奇,剧情,悬疑,http://www.imdb.com/title/tt0114369,386828,8.7,127分钟,安德鲁·凯文·沃克,40.5%,48.3%,七宗罪 Se7en,1995
50,中山美穗,丰川悦司,酒井美纪,日本,岩井俊二,剧情,爱情,http://www.imdb.com/title/tt0113703,317634,8.8,117分钟,岩井俊二,35.4%,52.3%,情书 Love Letter,1995
51,罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克,美国,彼得·威尔,剧情,,http://www.imdb.com/title/tt0097165,235661,8.9,128 分钟,汤姆·舒尔曼,34.6%,55.4%,死亡诗社 Dead Poets Society,1989
52,罗伯特·德尼罗,詹姆斯·伍兹,詹妮弗·康纳利,www.onceuponatimeinamerica.net,赛尔乔·莱翁内,剧情,犯罪,http://www.onceuponatimeinamerica.net,150444,9.1,229分钟,皮耶罗·德·伯纳迪,30.1%,62.2%,美国往事 Once Upon a Time in America,1984
53,梅尔·吉布森,苏菲·玛索,布莱恩·考克斯,美国,梅尔·吉布森,剧情,动作,http://www.imdb.com/title/tt0112573,263882,8.8,177 分钟,兰道尔·华莱士,35.3%,53.3%,勇敢的心 Braveheart,1995
54,约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,美国,蒂姆·波顿,剧情,爱情,http://www.imdb.com/title/tt0099487,426469,8.7,105 分钟,卡罗琳·汤普森,39.4%,47.6%,剪刀手爱德华 Edward Scissorhands,1990
55,艾德里安·布洛迪,托马斯·克莱舒曼,艾米莉娅·福克斯,法国/德国/英国/波兰,罗曼·波兰斯基,剧情,传记,http://www.imdb.com/title/tt0253474,176359,9.0,150分钟,罗纳德·哈伍德,35.7%,56.9%,钢琴家 The Pianist,2002
56,克里斯蒂安·贝尔,休·杰克曼,迈克尔·凯恩,美国/英国,克里斯托弗·诺兰,剧情,悬疑,http://www.imdb.com/title/tt0482571,295145,8.8,130分钟,乔纳森·诺兰,39.3%,50.3%,致命魔术 The Prestige,2006
57,乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,美国,罗杰·阿勒斯,剧情,动画,http://www.imdb.com/title/tt0110357,245482,8.8,89 分钟,艾琳·梅琪,37.0%,52.7%,狮子王 The Lion King,1994
58,中谷美纪,瑛太,香川照之,日本,中岛哲也,剧情,歌舞,http://www.imdb.com/title/tt0768120,224927,8.9,130 分钟,中岛哲也,33.4%,55.8%,被嫌弃的松子的一生 嫌われ松子の一生,2006
59,朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克,美国,罗伯特·怀斯,剧情,爱情,http://www.imdb.com/title/tt0059742,203237,8.9,174分钟,恩斯特·莱赫曼,35.9%,54.5%,音乐之声 The Sound of Music,1965
60,Amir Farrokh Hashemian,默罕默德·阿米尔·纳吉,Bahare Seddiqi,http,马基德·马基迪,剧情,家庭,http://www.cinemajidi.com/children/,114334,9.1,89 分钟,马基德·马基迪,31.4%,63.0%,小鞋子 ?????? ?????,1997
61,约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,美国,昆汀·塔伦蒂诺,剧情,犯罪,http://www.imdb.com/title/tt0110912,284861,8.7,154分钟,昆汀·塔伦蒂诺,36.9%,50.8%,低俗小说 Pulp Fiction,1994
62,本木雅弘,广末凉子,山崎努,www.okuribito.jp,泷田洋二郎,剧情,,http://www.okuribito.jp,284984,8.8,130 分钟,小山薰堂,39.8%,49.8%,入殓师 おくりびと,2008
63,阿什顿·库彻,艾米·斯马特,埃尔登·汉森,美国/加拿大,埃里克·布雷斯,剧情,科幻,http://www.imdb.com/title/tt0289879,335915,8.7,113 分钟,J.麦基·格鲁伯,41.0%,46.6%,蝴蝶效应 The Butterfly Effect,2004
64,宋康昊,吴达洙,金英爱,www.lawyersong.kr,杨宇硕,剧情,,http://www.lawyersong.kr,155641,9.1,127分钟,杨宇硕,31.7%,62.1%,辩护人 ???,2013
65,朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,美国,乔纳森·戴米,剧情,惊悚,http://www.imdb.com/title/tt0102926,302819,8.7,118 分钟,Thomas Harris,42.0%,46.6%,沉默的羔羊 The Silence of the Lambs,1991
66,托妮·科莱特,菲利普·塞默·霍夫曼,艾瑞克·巴纳,www.maryandmax.com/,亚当·艾略特,剧情,爱情,http://www.maryandmax.com/,212423,8.9,Australia: 80 分钟,亚当·艾略特,34.1%,55.9%,玛丽和马克思 Mary and Max,2009
67,布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森,美国,大卫·芬奇,剧情,爱情,http://www.imdb.com/title/tt0421715,348226,8.7,166分钟,艾瑞克·罗斯,39.2%,48.1%,本杰明·巴顿奇事 The Curious Case of Benjamin Button,2008
68,吴倩莲,杨贵媚,王渝文,台湾/美国,李安,剧情,家庭,http://www.imdb.com/title/tt0111797,149584,9.0,124 分钟,李安,37.2%,55.5%,饮食男女 飲食男女,1994
69,基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩,美国/澳大利亚,莉莉·沃卓斯基,动作,科幻,http://www.imdb.com/title/tt0133093,240925,8.7,136分钟,莉莉·沃卓斯基,35.7%,51.5%,黑客帝国 The Matrix,1999
70,汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯,http,史蒂文·斯皮尔伯格,剧情,历史,http://www.rzm.com/pvt.ryan/index.html,197715,8.8,169分钟,罗伯特·罗达特,38.9%,50.8%,拯救大兵瑞恩 Saving Private Ryan,1998
71,莫妮卡·贝鲁奇,圭塞佩·苏尔法罗,Luciano Federico,意大利/美国,朱塞佩·托纳多雷,剧情,情色,http://www.imdb.com/title/tt0213847,290916,8.7,109 分钟,朱塞佩·托纳多雷,42.6%,45.5%,西西里的美丽传说 Malèna,2000
72,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,美国,比利·怀德,剧情,悬疑,http://www.imdb.com/title/tt0051201,54343,9.5,116分钟,阿加莎·克里斯蒂,18.3%,79.6%,控方证人 Witness for the Prosecution,1957
73,松田洋治,石田百合子,田中裕子,日本,宫崎骏,动画,奇幻,http://www.imdb.com/title/tt0119698,202251,8.8,134 分钟,宫崎骏,38.0%,50.5%,幽灵公主 もののけ姫,1997
74,马特·达蒙,罗宾·威廉姆斯,本·阿弗莱克,美国,格斯·范·桑特,剧情,,http://www.imdb.com/title/tt0119217,227225,8.7,126 分钟,本·阿弗莱克,41.6%,47.6%,心灵捕手 Good Will Hunting,1997
75,布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特,美国,M·奈特·沙马兰,剧情,悬疑,http://www.imdb.com/title/tt0167404,200006,8.8,107分钟,M·奈特·沙马兰,40.4%,49.2%,第六感 The Sixth Sense,1999
76,伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普,美国,蒂姆·波顿,剧情,家庭,http://www.imdb.com/title/tt0319061,216733,8.7,125 分钟,Daniel Wallace,38.1%,49.8%,大鱼 Big Fish,2003
77,夏雨,宁静,陶虹,中国大陆/香港,姜文,剧情,,http://www.imdb.com/title/tt0111786,232285,8.7,134分钟(中国大陆),姜文,40.6%,47.8%,阳光灿烂的日子,1994
78,姜文,葛优,周润发,中国大陆/香港,姜文,剧情,喜剧,http://www.imdb.com/title/tt1533117,554266,8.7,132分钟,朱苏进,36.8%,49.6%,让子弹飞,2010
79,梁朝伟,林青霞,张国荣,香港,刘镇伟,喜剧,古装,http://www.imdb.com/title/tt0108074,235666,8.7,100 分钟,刘镇伟,32.3%,52.6%,射雕英雄传之东成西就 射鵰英雄傳之東成西就,1993
80,沈恩京,闵孝琳,姜素拉,韩国,姜炯哲,剧情,喜剧,http://www.imdb.com/title/tt1937339,229853,8.8,124分钟,姜炯哲,36.4%,52.4%,阳光姐妹淘 ??,2011
81,亚历桑德雷·罗德里格斯,Leandro Firmino,菲利佩·哈根森,巴西/法国,卡迪亚·兰德,剧情,犯罪,http://www.imdb.com/title/tt0317248,138673,8.9,130分钟,布罗里欧·曼托伐尼,36.6%,54.2%,上帝之城 Cidade de Deus,2002
82,薛耿求,严志媛,李来,www.wish-movie.kr,李濬益,剧情,家庭,http://www.wish-movie.kr,132733,9.0,123分钟,金智慧,33.0%,60.0%,素媛 ??,2013
83,邱岳峰,富润生,毕克,中国大陆,万籁鸣,动画,奇幻,http://www.imdb.com/title/tt0059855,80085,9.2,114分钟,李克弱,24.3%,67.7%,大闹天宫,1961
84,张国荣,梁朝伟,张震,香港/日本/韩国,王家卫,剧情,爱情,http://www.imdb.com/title/tt0118845,199344,8.7,96分钟,王家卫,38.6%,49.1%,春光乍泄 春光乍洩,1997
85,林青霞,金城武,梁朝伟,香港,王家卫,剧情,爱情,http://www.imdb.com/title/tt0109424,268409,8.6,102分钟,王家卫,40.7%,45.5%,重庆森林 重慶森林,1994
86,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,美国,马丁·斯科塞斯,剧情,悬疑,http://www.imdb.com/title/tt1130884,306243,8.6,138 分钟,莱塔·卡罗格里迪斯,44.9%,43.0%,禁闭岛 Shutter Island,2010
87,辰己努,白石绫乃,志乃原良子,日本,高畑勋,剧情,动画,http://www.imdb.com/title/tt0095327,178160,8.7,89 分钟,高畑勋,33.7%,52.9%,萤火虫之墓 火垂るの墓,1988
88,约翰·库萨克,雷·利奥塔,阿曼达·皮特,美国,詹姆斯·曼高德,剧情,悬疑,http://www.imdb.com/title/tt0309698,268414,8.6,90分钟,Michael Cooney,44.5%,43.1%,致命ID Identity,2003
89,松隆子,冈田将生,木村佳乃,kokuhaku-shimasu.jp,中岛哲也,剧情,惊悚,http://kokuhaku-shimasu.jp,290038,8.6,106分钟,中岛哲也,37.9%,48.5%,告白,2010
90,黎明,张曼玉,杨恭如,香港,陈可辛,剧情,爱情,http://www.imdb.com/title/tt0117905,198578,8.7,118分钟(中国大陆),岸西,41.5%,46.8%,甜蜜蜜,1996
91,吴念真,李凯莉,金燕玲,台湾/日本,杨德昌,剧情,爱情,http://www.imdb.com/title/tt0244316,130739,8.9,173分钟,杨德昌,31.0%,57.1%,一一,2000
92,伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特,美国/奥地利/瑞士,理查德·林克莱特,剧情,爱情,http://www.imdb.com/title/tt0112471,184665,8.7,105分钟,理查德·林克莱特,36.1%,50.5%,爱在黎明破晓前 Before Sunrise,1995
93,约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,美国,戈尔·维宾斯基,动作,奇幻,http://www.imdb.com/title/tt0325980,286701,8.5,143 分钟,泰德·艾略特,44.4%,42.0%,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,2003
94,萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,www.avatarmovie.com,詹姆斯·卡梅隆,动作,科幻,http://www.avatarmovie.com,469302,8.6,162 分钟,詹姆斯·卡梅隆,36.4%,47.6%,阿凡达 Avatar,2009
95,岛本须美,京田尚子,松田洋治,日本,宫崎骏,科幻,动画,http://www.imdb.com/title/tt0087544,151513,8.8,117分钟,宫崎骏,37.9%,50.6%,风之谷 風の谷のナウシカ,1984
96,伊桑·霍克,朱莉·德尔佩,弗农·多布切夫,美国,理查德·林克莱特,剧情,爱情,http://www.imdb.com/title/tt0381681,171572,8.7,80 分钟,理查德·林克莱特,35.2%,51.3%,爱在日落黄昏时 Before Sunset,2004
97,本名阳子,小林桂树,高山南,日本,近藤喜文,剧情,爱情,http://www.imdb.com/title/tt0113824,141263,8.8,111分钟,宫崎骏,37.6%,50.8%,侧耳倾听 耳をすませば,1995
98,杰伊·巴鲁切尔,杰拉德·巴特勒,克雷格·费格森,www.dreamworksdragons.com/,迪恩·德布洛斯,喜剧,动画,http://www.dreamworksdragons.com/,247391,8.7,98 分钟,威廉姆·戴维斯,41.7%,46.4%,驯龙高手 How to Train Your Dragon,2010
99,皮尔斯·布鲁斯南,雅克·贝汉,姜文,www.oceans-lefilm.com,雅克·贝汉,纪录片,,http://www.oceans-lefilm.com,90117,9.0,104分钟(法国),Christophe Cheysson,32.0%,59.4%,海洋 Océans,2009
100,安东尼·霍普金斯,布拉德·皮特,朱莉娅·奥蒙德,美国,爱德华·兹威克,剧情,爱情,http://www.imdb.com/title/tt0110322,134113,8.8,133分钟,William D. Wittliff,36.1%,51.9%,燃情岁月 Legends of the Fall,1994
101,拉尔夫·费因斯,托尼·雷沃罗利,艾德里安·布洛迪,www.grandbudapesthotel.com,韦斯·安德森,剧情,喜剧,http://www.grandbudapesthotel.com,251587,8.7,100分钟,韦斯·安德森,38.9%,49.3%,布达佩斯大饭店 The Grand Budapest Hotel,2014
102,希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,www.brokebackmountain.com,李安,剧情,爱情,http://www.brokebackmountain.com,274376,8.5,134分钟,拉里·麦克穆特瑞,40.0%,43.8%,断背山 Brokeback Mountain,2005
103,莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,美国/加拿大,史蒂文·斯皮尔伯格,剧情,传记,http://www.imdb.com/title/tt0264464,179270,8.7,141 分钟,杰夫·内桑森,44.4%,44.5%,猫鼠游戏 Catch Me If You Can,2002
104,艾德里安·布洛迪,克里斯蒂娜·亨德里克斯,詹姆斯·肯恩,detachment-film.com,托尼·凯耶,剧情,,http://detachment-film.com,144490,8.7,97分钟,卡尔·隆德,37.0%,50.9%,超脱 Detachment,2011
105,查理·卓别林,宝莲·高黛,亨利·伯格曼,美国,查理·卓别林,剧情,喜剧,http://www.imdb.com/title/tt0027977,69828,9.1,87 分钟,查理·卓别林,31.0%,63.3%,摩登时代 Modern Times,1936
106,麦斯·米科尔森,托玛斯·博·拉森,安妮卡·韦德科普,丹麦/瑞典,托马斯·温特伯格,剧情,,http://www.imdb.com/title/tt2106476,93943,9.0,115分钟,托马斯·温特伯格,34.3%,58.1%,狩猎 Jagten,2012
107,汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐,美国,史蒂文·斯皮尔伯格,剧情,喜剧,http://www.imdb.com/title/tt0362227,199637,8.6,128 分钟,Sacha Gervasi,43.5%,43.8%,幸福终点站 The Terminal,2004
108,,,,,,,,,,,,,,,,
109,史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,www.despicableme.com,皮艾尔·柯芬,喜剧,动画,http://www.despicableme.com,320218,8.5,95分钟,肯·道里欧,45.4%,40.5%,神偷奶爸 Despicable Me,2010
110,路易·德·菲耐斯,布尔维尔,Claudio Brook,法国/英国,杰拉尔·乌里,喜剧,战争,http://www.imdb.com/title/tt0060474,93486,8.9,132 分钟,Marcel Jullian,32.6%,57.2%,虎口脱险 La grande vadrouille,1966
111,北野武,关口雄介,岸本加世子,日本,北野武,剧情,喜剧,http://www.imdb.com/title/tt0199683,149279,8.7,121 分钟,北野武,38.6%,49.0%,菊次郎的夏天 菊次郎の夏,1999
112,马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,美国/德国,保罗·格林格拉斯,动作,悬疑,http://www.imdb.com/title/tt0440963,154636,8.7,115分钟,托尼·吉尔罗伊,40.0%,47.9%,谍影重重3 The Bourne Ultimatum,2007
113,休·格兰特,科林·费尔斯,艾玛·汤普森,www.loveactually.com/,理查德·柯蒂斯,剧情,喜剧,http://www.loveactually.com/,269656,8.5,135 分钟,理查德·柯蒂斯,38.8%,43.9%,真爱至上 Love Actually,2003
