title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
罗马假日,1953,8.9,337415,118,56.1%,35.1%,威廉·惠勒,达尔顿·特朗勃,奥黛丽·赫本,格利高里·派克,埃迪·艾伯特,美国,剧情,喜剧,http://www.imdb.com/title/tt0046250,爱情哪怕只有一天。
怦然心动,2010,8.9,458464,90,54.6%,35.7%,罗伯·莱纳,罗伯·莱纳,玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,美国,剧情,喜剧,http://www.imdb.com/title/tt0817177,真正的幸福是来自内心深处。
天空之城,1986,9.0,286632,124,57.5%,34.5%,宫崎骏,宫崎骏,田中真弓,鹫尾真知子,初井言荣,日本,动画,奇幻,http://www.imdb.com/title/tt0092067,对天空的追逐，永不停止。 
无间道,2002,8.9,338006,101,55.0%,36.3%,刘伟强,麦兆辉,刘德华,梁朝伟,黄秋生,香港,悬疑,惊悚,http://www.imdb.com/title/tt0338564,香港电影史上永不过时的杰作。
两杆大烟枪,1998,9.0,242716,107,60.6%,31.7%,盖·里奇,盖·里奇,杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,英国,剧情,喜剧,http://www.imdb.com/title/tt0120735,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
飞屋环游记,2009,8.9,444111,96,54.3%,36.1%,彼特·道格特,鲍勃·彼德森,爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,美国,剧情,喜剧,http://www.imdb.com/title/tt1049413,最后那些最无聊的事情，才是最值得怀念的。 
大话西游之月光宝盒,1995,8.9,337102,87,56.5%,33.1%,刘镇伟,刘镇伟,周星驰,吴孟达,罗家英,香港/中国大陆,喜剧,动作,http://www.imdb.com/title/tt0112778,旷古烁今。
少年派的奇幻漂流,2012,9.0,513707,127,60.7%,31.4%,李安,扬·马特尔,苏拉·沙玛,拉菲·斯波,伊尔凡·可汗,www.lifeofpimovie.com,剧情,奇幻,http://www.lifeofpimovie.com,瑰丽壮观、无人能及的冒险之旅。
飞越疯人院,1975,9.0,244475,133,59.1%,32.8%,米洛斯·福尔曼,劳伦斯·奥邦,杰克·尼科尔森,丹尼·德维托,克里斯托弗·洛伊德,美国,剧情,,http://www.imdb.com/title/tt0073486,自由万岁。
鬼子来了,2000,9.1,191856,139,64.0%,28.5%,姜文,姜文,姜文,香川照之,袁丁,中国大陆,剧情,战争,http://www.imdb.com/title/tt0245929,对敌人的仁慈，就是对自己残忍。
海豚湾,2009,9.3,164771,92,71.4%,22.5%,路易·西霍尤斯,马克·蒙雷,John Chisholm,Mandy-Rae Cruikshank,Charles Hambleton,www.thecovemovie.com,纪录片,,http://www.thecovemovie.com,海豚的微笑，是世界上最高明的伪装。
蝙蝠侠：黑暗骑士,2008,9.0,271940,152,59.5%,30.6%,克里斯托弗·诺兰,乔纳森·诺兰,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,thedarkknight.warnerbros.com,剧情,动作,http://thedarkknight.warnerbros.com,无尽的黑暗。
