title,year,rating_score,rating_people,runtime,star5,star4,director,screenwriter,actor_1,actor_2,actor_3,country,genre_1,genre_2,imdb_link,quote
虎口脱险,1966,8.9,93482,132,57.2%,32.6%,杰拉尔·乌里,Marcel Jullian,路易·德·菲耐斯,布尔维尔,Claudio Brook,法国/英国,喜剧,战争,http://www.imdb.com/title/tt0060474,永远看不腻的喜剧。
菊次郎的夏天,1999,8.7,149280,121,49.0%,38.6%,北野武,北野武,北野武,关口雄介,岸本加世子,日本,剧情,喜剧,http://www.imdb.com/title/tt0199683,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
谍影重重3,2007,8.7,154633,115,47.9%,40.0%,保罗·格林格拉斯,托尼·吉尔罗伊,马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,美国/德国,动作,悬疑,http://www.imdb.com/title/tt0440963,像吃了苏打饼一样干脆的电影。
真爱至上,2003,8.5,269651,135,43.9%,38.8%,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特,科林·费尔斯,艾玛·汤普森,www.loveactually.com/,剧情,喜剧,http://www.loveactually.com/,爱，是个动词。
借东西的小人阿莉埃蒂,2010,8.7,187065,94,46.0%,41.7%,米林宏昌,宫崎骏,志田未来,神木隆之介,三浦友和,http,动画,奇幻,http://karigurashi.jp/,曾经的那段美好会沉淀为一辈子的记忆。
雨人,1988,8.6,183731,133,42.3%,46.2%,巴瑞·莱文森,罗纳德·巴斯,达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱莉·高利诺,美国,剧情,,http://www.imdb.com/title/tt0095953,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
贫民窟的百万富翁,2008,8.5,356355,120,40.0%,45.1%,丹尼·博伊尔,西蒙·博福伊,戴夫·帕特尔,芙蕾达·平托,亚尼·卡普,www.foxsearchlight.com/slumdogmillionaire/,剧情,爱情,http://www.foxsearchlight.com/slumdogmillionaire/,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
岁月神偷,2010,8.6,270030,117,45.2%,40.9%,罗启锐,罗启锐,吴君如,任达华,钟绍图,香港/中国大陆,剧情,家庭,http://www.imdb.com/title/tt1602572,岁月流逝，来日可追。
疯狂原始人,2013,8.8,327749,98,50.7%,37.4%,柯克·德·米科,克里斯·桑德斯,尼古拉斯·凯奇,瑞恩·雷诺兹,艾玛·斯通,美国,喜剧,动画,http://www.imdb.com/title/tt0481499,老少皆宜，这就是好莱坞动画的魅力。
记忆碎片,2000,8.5,238880,113,42.3%,42.8%,克里斯托弗·诺兰,克里斯托弗·诺兰,盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,美国,剧情,悬疑,http://www.imdb.com/title/tt0209144,一个针管引发的血案。
东邪西毒,1994,8.5,217369,100,45.5%,38.3%,王家卫,王家卫,张国荣,张曼玉,梁朝伟,香港/台湾,剧情,动作,http://www.imdb.com/title/tt0109688,电影诗。
七武士,1954,9.1,62828,160,65.0%,27.8%,黑泽明,黑泽明,三船敏郎,志村乔,稻叶义男,日本,剧情,动作,http://www.imdb.com/title/tt0047478,时代悲歌。
倩女幽魂,1987,8.5,206978,98,41.6%,44.9%,程小东,阮继志,张国荣,王祖贤,午马,香港,剧情,爱情,http://www.imdb.com/title/tt0093978,两张绝世的脸。 
哈利·波特与魔法石,2001,8.6,200801,152,43.7%,41.8%,克里斯·哥伦布,斯蒂芬·科洛弗,丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,www.harrypotter.co.uk,奇幻,冒险,http://www.harrypotter.co.uk,童话世界的开端。
穿条纹睡衣的男孩,2008,8.8,109277,94,50.0%,41.2%,马克·赫尔曼,马克·赫尔曼,阿萨·巴特菲尔德,维拉·法米加,大卫·休里斯,英国/美国,剧情,战争,http://www.imdb.com/title/tt0914798,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
穿越时空的少女,2006,8.6,158633,98,46.6%,39.9%,细田守,奥寺佐渡子,仲里依纱,石田卓也,板仓光隆,www.kadokawa.co.jp/tokikake/,剧情,爱情,http://www.kadokawa.co.jp/tokikake/,爱上未来的你。 
末代皇帝,1987,8.7,127690,163,49.3%,39.4%,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇,尊龙,陈冲,彼得·奥图尔,意大利/中国大陆/英国/法国,剧情,传记,http://www.imdb.com/title/tt0093389,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
怪兽电力公司,2001,8.6,200865,92,42.0%,44.6%,彼特·道格特,安德鲁·斯坦顿,约翰·古德曼,比利·克里斯托,玛丽·吉布斯,www.monstersinc.com,喜剧,动画,http://www.monstersinc.com,不要给它起名字，起了名字就有感情了。
魂断蓝桥,1940,8.8,113933,108,48.9%,40.8%,茂文·勒鲁瓦,乔治·弗罗斯切尔,费雯·丽,罗伯特·泰勒,露塞尔·沃特森,美国,剧情,爱情,http://www.imdb.com/title/tt0033238,中国式内在的美国电影。
恋恋笔记本,2004,8.5,234133,123,42.5%,40.9%,尼克·卡索维茨,扬·萨尔迪,瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹,美国,剧情,爱情,http://www.imdb.com/title/tt0332280,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
猜火车,1996,8.5,212283,94,44.0%,40.3%,丹尼·博伊尔,埃文·威尔什,伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒,英国,剧情,犯罪,http://www.imdb.com/title/tt0117951,不可猜的青春迷笛。 
卢旺达饭店,2004,8.8,99144,121,50.5%,40.7%,特瑞·乔治,凯尔·皮尔森,唐·钱德尔,苏菲·奥康内多,杰昆·菲尼克斯,http,剧情,历史,http://www.mgm.com/ua/hotelrwanda/main.html,当这个世界闭上双眼，他却敞开了怀抱。
黑天鹅,2010,8.5,365698,108,39.8%,45.9%,达伦·阿伦诺夫斯基,安德雷斯·海因斯,娜塔莉·波特曼,米拉·库尼斯,薇诺娜·瑞德,美国,剧情,惊悚,http://www.imdb.com/title/tt0947798,黑暗之美。
消失的爱人,2014,8.7,288307,149,46.9%,42.9%,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,美国,剧情,悬疑,http://www.imdb.com/title/tt2267998,
恐怖直播,2013,8.7,165750,97,47.8%,40.9%,金秉祐,金秉祐,河正宇,李璟荣,全慧珍,韩国,剧情,悬疑,http://www.imdb.com/title/tt2990738,恐怖分子的“秋菊打官司”。
傲慢与偏见,2005,8.4,254681,129,39.4%,43.7%,乔·赖特,黛博拉·莫盖茨,凯拉·奈特莉,马修·麦克费登,唐纳德·萨瑟兰,法国/英国/美国,剧情,爱情,http://www.imdb.com/title/tt0414387,爱是摈弃傲慢与偏见之后的曙光。
完美的世界,1993,9.0,65878,138,58.9%,33.2%,克林特·伊斯特伍德,约翰·李·汉考克,凯文·科斯特纳,劳拉·邓恩,克林特·伊斯特伍德,美国,剧情,犯罪,http://www.imdb.com/title/tt0107808,坏人的好总是比好人的好来得更感人。
教父3,1990,8.7,109133,162,50.2%,37.4%,弗朗西斯·福特·科波拉,马里奥·普佐,阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔,美国,剧情,犯罪,http://www.imdb.com/title/tt0099674,任何信念的力量，都无法改变命运。
秒速5厘米,2007,8.4,238612,63,44.6%,35.9%,新海诚,新海诚,水桥研二,近藤好美 ,尾上绫华,www.cwfilms.jp/5cm/,剧情,爱情,http://www.cwfilms.jp/5cm/,青春就是放弃和怀念。
玩具总动员3,2010,8.8,172098,103,50.8%,36.8%,李·昂克里奇,迈克尔·阿恩特,汤姆·汉克斯,蒂姆·艾伦,琼·库萨克,http,喜剧,动画,http://disney.go.com/toystory/,跨度十五年的欢乐与泪水。
红辣椒,2006,8.8,98490,90,52.1%,37.2%,今敏,水上清资,林原惠美,古谷彻,江守彻,日本,科幻,动画,http://www.imdb.com/title/tt0851578,梦的勾结。
英雄本色,1986,8.7,121732,95,46.5%,41.7%,吴宇森,陈庆嘉,周润发,狄龙,张国荣,香港,动作,犯罪,http://www.imdb.com/title/tt0092263,英雄泪短，兄弟情长。 
我是山姆,2001,8.8,86397,132,52.1%,38.1%,杰茜·尼尔森,杰茜·尼尔森,西恩·潘,达科塔·范宁,米歇尔·菲佛,美国,剧情,家庭,http://www.imdb.com/title/tt0277027,爱并不需要智商 。
人工智能,2001,8.6,164925,146,45.5%,38.7%,史蒂文·斯皮尔伯格,Ian Watson,海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹,http,剧情,科幻,http://aimovie.warnerbros.com/,对爱的执着，可以超越一切。
雨中曲,1952,8.9,77778,103,55.0%,36.0%,斯坦利·多南,Adolph Green,吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,美国,喜剧,爱情,http://www.imdb.com/title/tt0045152,骨灰级歌舞片。
纵横四海,1991,8.7,117414,108,46.6%,41.6%,吴宇森,吴宇森,周润发,张国荣,钟楚红,香港,剧情,喜剧,http://www.imdb.com/title/tt0101020,香港浪漫主义警匪动作片的巅峰之作。
香水,2006,8.4,238353,147,40.2%,43.3%,汤姆·提克威,安德鲁·伯金,本·卫肖,艾伦·瑞克曼,蕾切儿·哈伍德,http,剧情,犯罪,http://www.parfum.film.de/,一个单凭体香达到高潮的男人。
冰川时代,2002,8.4,236598,81,36.8%,48.5%,卡洛斯·沙尔丹哈,迈克尔·伯格 ,雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,美国,喜剧,动画,http://www.imdb.com/title/tt0268380,松鼠才是角儿。
撞车,2004,8.6,153106,112,43.7%,42.3%,保罗·哈吉斯,保罗·哈吉斯,桑德拉·布洛克,唐·钱德尔,马特·狄龙,http,剧情,犯罪,http://www.crashfilm.com/,天使与魔鬼的冲撞。
萤火之森,2011,8.8,125874,45,52.0%,35.2%,大森贵弘,绿川幸,佐仓绫音,内山昂辉,,www.hotarubi.info,剧情,爱情,http://www.hotarubi.info,触不到的恋人。
浪潮,2008,8.7,107748,107,47.3%,42.2%,丹尼斯·甘塞尔,丹尼斯·甘塞尔,约根·沃格尔,詹妮弗·乌尔里希,马克思·雷迈特,德国,剧情,,http://www.imdb.com/title/tt1063669,世界离独裁只有五天。
喜宴,1993,8.7,108784,106,45.4%,45.4%,李安,李安,赵文瑄,归亚蕾,金素梅,台湾/美国,剧情,喜剧,http://www.imdb.com/title/tt0107156,中国家庭的喜怒哀乐忍。
碧海蓝天,1988,8.7,98635,168,50.7%,36.5%,吕克·贝松,吕克·贝松,让-马克·巴尔,让·雷诺,罗姗娜·阿奎特,法国/美国/意大利,剧情,爱情,http://www.imdb.com/title/tt0095250,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
朗读者,2008,8.5,247068,124,38.3%,47.2%,史蒂芬·戴德利,戴维·黑尔,凯特·温丝莱特,拉尔夫·费因斯,大卫·克劳斯,美国/德国,剧情,爱情,http://www.imdb.com/title/tt0976051,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
追随,1998,9.0,64252,70,56.2%,36.2%,克里斯托弗·诺兰,克里斯托弗·诺兰,杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔,英国,悬疑,惊悚,http://www.imdb.com/title/tt0154506,诺兰的牛逼来源于内心散发出的恐惧。
海盗电台,2009,8.6,150994,116,49.3%,35.9%,理查德·柯蒂斯,理查德·柯蒂斯,比尔·奈伊,肯尼思·布拉纳,菲利普·塞默·霍夫曼,英国/德国/法国,剧情,喜剧,http://www.imdb.com/title/tt1131729,生命不止，摇滚不死。
可可西里,2004,8.6,111379,85,45.5%,41.8%,陆川,陆川,多布杰,张磊,亓亮,中国大陆/香港,剧情,,http://www.imdb.com/title/tt0386651,坚硬的信仰。
小森林 夏秋篇,2014,8.9,90876,111,54.8%,35.9%,森淳一,五十岚大介,桥本爱,三浦贵大,松冈茉优,日本,剧情,,http://www.imdb.com/title/tt3474600,
梦之安魂曲,2000,8.7,91771,102,51.5%,35.8%,达伦·阿伦诺夫斯基,达伦·阿伦诺夫斯基,艾伦·伯斯汀,杰瑞德·莱托,詹妮弗·康纳利,美国,剧情,,http://www.imdb.com/title/tt0180093,一场没有春天的噩梦。
战争之王,2005,8.5,151138,122,40.5%,45.4%,安德鲁·尼科尔,安德鲁·尼科尔,尼古拉斯·凯奇,布丽姬·穆娜,杰瑞德·莱托,美国/法国,剧情,犯罪,http://www.imdb.com/title/tt0399295,做一颗让别人需要你的棋子。
哈利·波特与死亡圣器(下),2011,8.6,233745,130,48.5%,36.0%,大卫·叶茨,斯蒂芬·科洛弗,丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,美国/英国,剧情,悬疑,http://www.imdb.com/title/tt1201607,10年的完美句点。
罗生门,1950,8.7,100925,88,48.0%,39.4%,黑泽明,黑泽明,三船敏郎,千秋实,京町子,日本,剧情,悬疑,http://www.imdb.com/title/tt0042876,人生的N种可能性。
7号房的礼物,2013,8.6,134973,127,48.0%,38.0%,李焕庆,李焕庆,柳承龙,朴信惠,郑镇荣,www.7gift.kr,剧情,喜剧,http://www.7gift.kr,《我是山姆》的《美丽人生》。
喜剧之王,1999,8.3,244970,85,37.6%,43.7%,周星驰,曾瑾昌,周星驰,张柏芝,莫文蔚,香港,剧情,喜剧,http://www.imdb.com/title/tt0188766,我是一个演员。
迁徙的鸟,2001,9.1,46938,98,63.4%,29.4%,雅克·贝汉,Francis Roux,Philippe Labro,雅克·贝汉,,法国/德国/意大利/西班牙/瑞士,纪录片,,http://www.imdb.com/title/tt0301727,最美的飞翔。
荒野生存,2007,8.6,110360,148,49.6%,35.5%,西恩·潘,西恩·潘,埃米尔·赫斯基,马西娅·盖伊·哈登,威廉·赫特,美国,剧情,传记,http://www.imdb.com/title/tt0758758,出门必备：本草纲目。
一次别离,2011,8.7,111427,123,47.1%,41.0%,阿斯哈·法哈蒂,阿斯哈·法哈蒂,蕾拉·哈塔米,佩曼·莫阿迪,沙哈布·侯赛尼,伊朗,剧情,家庭,http://www.imdb.com/title/tt1832382,只有有信仰的人才能说出事实真相。
花样年华,2000,8.4,199179,98,37.6%,46.0%,王家卫,王家卫,梁朝伟,张曼玉,潘迪华,香港/法国,剧情,爱情,http://www.imdb.com/title/tt0118694,偷情本没有这样美。
谍影重重,2002,8.5,164977,119,39.2%,45.2%,道格·里曼,托尼·吉尔罗伊,马特·达蒙,弗兰卡·波坦特,克里斯·库珀,www.thebourneidentity.com,动作,悬疑,http://www.thebourneidentity.com,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
谍影重重2,2004,8.5,134845,108,40.4%,45.9%,保罗·格林格拉斯,罗伯特·鲁德鲁姆,马特·达蒙,弗兰卡·波坦特,布莱恩·考克斯,www.thebournesupremacy.com,动作,悬疑,http://www.thebournesupremacy.com,谁说王家卫镜头很晃？
勇闯夺命岛,1996,8.5,123039,136,41.8%,44.2%,迈克尔·贝,大卫·韦斯伯格,肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯,美国,动作,冒险,http://www.imdb.com/title/tt0117500,类型片的极致。 
时空恋旅人,2013,8.6,151948,123,44.4%,40.4%,理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊,www.abouttimemovie.com,剧情,爱情,http://www.abouttimemovie.com,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
绿里奇迹,1999,8.7,89151,189,48.2%,38.8%,弗兰克·德拉邦特,弗兰克·德拉邦特,汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯,美国,剧情,悬疑,http://www.imdb.com/title/tt0120689,天使暂时离开。
燕尾蝶,1996,8.6,96497,146,48.1%,37.6%,岩井俊二,岩井俊二,三上博史,恰拉,伊藤步,日本,剧情,犯罪,http://www.imdb.com/title/tt0117797,现实与童话交相辉映的旅程。
地球上的星星,2007,8.8,64551,165,53.5%,35.7%,阿米尔·汗,阿莫尔·古普特,达席尔·萨法瑞,阿米尔·汗,塔奈·切赫达,www.taarezameenpar.com,剧情,家庭,http://www.taarezameenpar.com,天使保护事件始末。
卡萨布兰卡,1942,8.6,106179,102,44.5%,41.7%,迈克尔·柯蒂斯,朱利叶斯·J·爱泼斯坦,亨弗莱·鲍嘉,英格丽·褒曼,保罗·亨雷德,美国,剧情,爱情,http://www.imdb.com/title/tt0034583,与同名歌曲无关。
心迷宫,2014,8.6,113940,110,41.3%,47.3%,忻钰坤,忻钰坤,霍卫民,王笑天,罗芸,中国大陆,剧情,悬疑,http://www.imdb.com/title/tt4078856,
唐伯虎点秋香,1993,8.3,257091,102,35.3%,45.9%,李力持,李力持,周星驰,巩俐,陈百祥,香港,喜剧,爱情,http://www.imdb.com/title/tt0108289,华太师是黄霑，吴镇宇四大才子之一。
英国病人,1996,8.4,156273,162,39.8%,44.0%,安东尼·明格拉,迈克尔·翁达杰,拉尔夫·费因斯,克里斯汀·斯科特·托马斯,朱丽叶·比诺什,美国/英国,剧情,爱情,http://www.imdb.com/title/tt0116209,"In memory, love lives forever..."
阿飞正传,1990,8.5,145296,94,39.1%,46.3%,王家卫,王家卫,张国荣,张曼玉,刘嘉玲,香港,剧情,爱情,http://www.imdb.com/title/tt0101258,王家卫是一种风格，张国荣是一个代表。
叫我第一名,2008,8.6,93371,98,45.0%,42.1%,彼得·维纳,托马斯·瑞克曼,詹姆斯·沃克,特里特·威廉斯,多米尼克·斯科特·凯伊,美国,剧情,传记,http://www.imdb.com/title/tt1292594,乐观比一切都有力量。
变脸,1997,8.4,186838,138,35.7%,48.0%,吴宇森,麦克·韦柏,约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,美国,动作,科幻,http://www.imdb.com/title/tt0119094,当发哥的风衣、墨镜出现在了凯奇身上??
超能陆战队,2014,8.6,307776,102,45.6%,40.7%,唐·霍尔,乔丹·罗伯茨,斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,www.disneyanimation.com/projects/bighero6,喜剧,动作,http://www.disneyanimation.com/projects/bighero6,
惊魂记,1960,8.8,66363,109,51.7%,39.2%,阿尔弗雷德·希区柯克,约瑟夫·斯蒂凡诺,珍妮特·利,安东尼·博金斯,维拉·迈尔斯,美国,悬疑,恐怖,http://www.imdb.com/title/tt0054215,故事的反转与反转，分裂电影的始祖。
这个男人来自地球,2007,8.5,145896,87,45.5%,36.6%,理查德·沙因克曼,杰罗姆·比克斯比,大卫·李·史密斯,托尼·托德,约翰·比灵斯列,美国,剧情,科幻,http://www.imdb.com/title/tt0756683,科幻真正的魅力不是视觉效果能取代的。 
蝙蝠侠：黑暗骑士崛起,2012,8.5,254700,165,42.8%,41.6%,克里斯托弗·诺兰,大卫·S·高耶,克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,www.thedarkknightrises.com,剧情,动作,http://www.thedarkknightrises.com,诺兰就是保证。
恐怖游轮,2009,8.3,254022,99,35.9%,45.1%,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼,英国/澳大利亚,剧情,悬疑,http://www.imdb.com/title/tt1187064,不要企图在重复中寻找已经失去的爱。
魔女宅急便,1989,8.4,161128,103,36.7%,47.5%,宫崎骏,宫崎骏,高山南,佐久间玲,山口胜平,日本,动画,奇幻,http://www.imdb.com/title/tt0097814,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
穆赫兰道,2001,8.3,196315,147,42.5%,37.9%,大卫·林奇,大卫·林奇,娜奥米·沃茨,劳拉·哈灵,安·米勒,法国/美国,剧情,悬疑,http://www.imdb.com/title/tt0166924,大卫·林奇的梦境迷宫。
E.T. 外星人,1982,8.5,130380,115,39.9%,45.3%,史蒂文·斯皮尔伯格,梅丽莎·马西森,亨利·托马斯,迪·沃伦斯,罗伯特·麦克纳夫顿,美国,剧情,科幻,http://www.imdb.com/title/tt0083866,生病的E.T.皮肤的颜色就像柿子饼。
再次出发之纽约遇见你,2013,8.5,129148,104,40.4%,44.4%,约翰·卡尼,约翰·卡尼,凯拉·奈特莉,马克·鲁弗洛,詹姆斯·柯登,beginagainfilm.com,喜剧,爱情,http://beginagainfilm.com,爱我就给我看你的播放列表。
终结者2：审判日,1991,8.5,120219,137,42.2%,41.6%,詹姆斯·卡梅隆,詹姆斯·卡梅隆,阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆,美国/法国,动作,科幻,http://www.imdb.com/title/tt0103064,少见的超越首部的续集，动作片中的经典。
发条橙,1971,8.4,160401,136,41.4%,40.7%,斯坦利·库布里克,斯坦利·库布里克,马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨,英国/美国,剧情,科幻,http://www.imdb.com/title/tt0066921,我完全康复了。
非常嫌疑犯,1995,8.6,97339,106,43.7%,43.2%,布莱恩·辛格,Christopher McQuarrie,凯文·史派西,史蒂芬·鲍德温,加布里埃尔·伯恩,德国/美国,剧情,悬疑,http://www.imdb.com/title/tt0114814,我不信仰上帝，但我敬畏上帝。
东京物语,1953,9.1,39219,136,64.9%,28.5%,小津安二郎,野田高梧,笠智众,原节子,杉村春子,日本,剧情,家庭,http://www.imdb.com/title/tt0046438,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
哪吒闹海,1979,8.8,66042,65,53.0%,34.2%,严定宪,王往,梁正晖,邱岳峰,毕克,中国大陆,动画,奇幻,http://www.imdb.com/title/tt0354770,想你时你在闹海。
上帝也疯狂,1980,8.6,82636,109,47.7%,38.0%,加美·尤伊斯,加美·尤伊斯,Marius Weyers,Sandra Prinsloo,历苏,博茨瓦纳/南非,喜剧,,http://www.imdb.com/title/tt0080801,纯净原始的笑与感动。
曾经,2006,8.3,179133,85,38.6%,42.1%,约翰·卡尼,约翰·卡尼,格伦·汉塞德,玛可塔·伊尔格洛娃,Alaistair Foley,www.foxsearchlight.com/once,剧情,爱情,http://www.foxsearchlight.com/once,有些幸福无关爱情。
达拉斯买家俱乐部,2013,8.6,136549,117,42.0%,47.2%,让-马克·瓦雷,克莱格·鲍登,马修·麦康纳,詹妮弗·加纳,杰瑞德·莱托,美国,剧情,同性,http://www.imdb.com/title/tt0790636,Jared Leto的腿比女人还美！
末路狂花,1991,8.6,84116,130,45.8%,41.6%,雷德利·斯科特,卡莉·克里,吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔,美国/法国,剧情,惊悚,http://www.imdb.com/title/tt0103074,没有了退路，只好飞向自由。
源代码,2011,8.3,356853,93,33.3%,49.9%,邓肯·琼斯,本·雷普利,杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉,美国/加拿大,剧情,动作,http://www.imdb.com/title/tt0945513,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
爱·回家,2002,9.1,39983,80,62.5%,29.3%,李廷香,李廷香,金艺芬,俞承豪,童孝熙,www.thewayhome.co.kr,剧情,家庭,http://www.thewayhome.co.kr,献给所有外婆的电影。
美国丽人,1999,8.4,159098,122,38.1%,44.7%,萨姆·门德斯,艾伦·鲍尔,凯文·史派西,安妮特·贝宁,索拉·伯奇,www.dreamworks.com/ab/,剧情,家庭,http://www.dreamworks.com/ab/,每个人的内心都是深不可测的大海。 
被解救的姜戈,2012,8.5,224709,163,40.8%,45.3%,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯,莱昂纳多·迪卡普里奥,克里斯托弗·沃尔兹,unchainedmovie.com,剧情,动作,http://unchainedmovie.com,热血沸腾，那个低俗、性感的无耻混蛋又来了。
忠犬八公物语,1987,9.0,42586,107,60.4%,30.7%,神山征二郎,新藤兼人,山本圭,井川比佐志,片桐入,日本,剧情,,http://www.imdb.com/title/tt0093132,养狗三日，便会对你终其一生。
荒蛮故事,2014,8.7,95004,122,46.6%,43.3%,达米安·斯兹弗隆,达米安·斯兹弗隆,里卡杜·达林,艾丽卡·里瓦斯,丽塔·科尔泰塞,阿根廷/西班牙,剧情,喜剧,http://www.imdb.com/title/tt3011894,
蓝色大门,2002,8.2,242066,85,35.4%,43.6%,易智言,易智言,桂纶镁,陈柏霖,梁又琳,bluegatecrossing.kingnet.com.tw,剧情,爱情,http://bluegatecrossing.kingnet.com.tw,青春的窃窃私语。 
两小无猜,2003,8.2,284334,93,38.7%,38.2%,杨·塞谬尔,杨·塞谬尔,吉约姆·卡内,玛丽昂·歌迪亚,蒂博?费尔哈格,法国/比利时,剧情,喜剧,http://www.imdb.com/title/tt0364517,"Love me, if you dare. "
黑客帝国3：矩阵革命,2003,8.4,129298,129,42.5%,39.3%,莉莉·沃卓斯基,莉莉·沃卓斯基,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,美国/澳大利亚,动作,科幻,http://www.imdb.com/title/tt0242653,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
新龙门客栈,1992,8.4,154617,88,36.5%,47.5%,李惠民,徐克,张曼玉,林青霞,梁家辉,香港/中国大陆,剧情,动作,http://www.imdb.com/title/tt0105859,嬉笑怒骂，调风动月。
黄金三镖客,1966,9.1,40927,161,62.4%,29.9%,赛尔乔·莱翁内,艾根诺尔·因克鲁西,克林特·伊斯特伍德,埃里·瓦拉赫,李·范·克里夫,意大利/西班牙/西德,西部,冒险,http://www.imdb.com/title/tt0060196,最棒的西部片。
牯岭街少年杀人事件,1991,8.6,81566,237,49.4%,36.0%,杨德昌,杨德昌,张震,杨静怡,张国柱,台湾,剧情,犯罪,http://www.imdb.com/title/tt0101985,弱者送给弱者的一刀。
初恋这件小事,2010,8.3,395034,118,37.2%,41.4%,普特鹏·普罗萨卡·那·萨克那卡林,普特鹏·普罗萨卡·那·萨克那卡林,马里奥·毛瑞尔,平采娜·乐维瑟派布恩,苏达拉·布查蓬,泰国,喜剧,爱情,http://www.imdb.com/title/tt1859438,黑小鸭速效美白记。
勇士,2011,8.9,75413,140,54.7%,35.0%,加文·欧康诺,加文·欧康诺,汤姆·哈迪,乔尔·埃哲顿,尼克·诺特,www.warriorfilm.com/,剧情,家庭,http://www.warriorfilm.com/,热血沸腾，相当完美的娱乐拳击大餐。
青蛇,1993,8.3,182348,99,36.6%,44.6%,徐克,李碧华,张曼玉,王祖贤,赵文卓,香港,剧情,奇幻,http://www.imdb.com/title/tt0106559,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
蝴蝶,2002,8.6,85817,85,42.3%,45.4%,费利普·弥勒,费利普·弥勒,米歇尔·塞罗,柯莱儿·布翁尼许,Nade Dieu,法国,剧情,喜剧,http://www.imdb.com/title/tt0329485,我们长途跋涉寻找的东西，有可能一直就在身边。 
无耻混蛋,2009,8.4,192047,153,37.6%,45.8%,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,布拉德·皮特,梅拉尼·罗兰,克里斯托弗·沃尔兹,美国/德国,剧情,犯罪,http://www.imdb.com/title/tt0361748,昆汀同学越来越变态了，比北野武还杜琪峰。
暖暖内含光,2004,8.4,124718,108,41.6%,41.3%,米歇尔·贡德里,查理·考夫曼,金·凯瑞,凯特·温丝莱特,克斯汀·邓斯特,www.eternalsunshine.com,剧情,爱情,http://www.eternalsunshine.com,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
巴黎淘气帮,2009,8.6,94934,92,45.1%,42.3%,劳伦·泰拉德,哥瑞劳瑞·温格纳瑞恩,马克西姆·戈达尔,瓦莱丽·勒梅西埃,凯德·麦拉德,法国/比利时,喜剧,家庭,http://www.imdb.com/title/tt1264904,四百击的反面。
麦兜故事,2001,8.5,112309,75,42.5%,40.7%,袁建滔,谢立文,李晋纬,林海峰,吴君如,香港,剧情,喜剧,http://www.imdb.com/title/tt0312941,麦兜是一只很哲学的猪。 
