,quote,star_num,star_score,title
94,绝对意义上的美轮美奂。,469287,8.6,阿凡达
95,动画片的圣经。,151503,8.8,风之谷
96,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,171570,8.7,爱在日落黄昏时
97,少女情怀总是诗。,141261,8.8,侧耳倾听
98,和谐的生活离不开摸头与被摸头。,247405,8.7,驯龙高手
99,大海啊，不全是水。,90116,9.0,海洋
100,传奇，不是每个人都可以拥有。,134109,8.8,燃情岁月
101,小清新的故事里注入了大历史的情怀。,251601,8.7,布达佩斯大饭店
102,每个人心中都有一座断背山。,274371,8.5,断背山
103,骗子大师和执著警探的你追我跑故事。 ,179292,8.7,猫鼠游戏
104,穷尽一生，我们要学会的，不过是彼此拥抱。,144491,8.7,超脱
105,大时代中的人生，小人物的悲喜。,69823,9.1,摩登时代
106,人言可畏。,93944,9.0,狩猎
107,有时候幸福需要等一等。 ,199638,8.6,幸福终点站
108,真相就在眼前。,173508,8.6,电锯惊魂
109,Mr. I Don't Care其实也有Care的时候。,320203,8.5,神偷奶爸
110,永远看不腻的喜剧。,93482,8.9,虎口脱险
111,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,149280,8.7,菊次郎的夏天
112,像吃了苏打饼一样干脆的电影。,154633,8.7,谍影重重3
113,爱，是个动词。,269651,8.5,真爱至上
114,曾经的那段美好会沉淀为一辈子的记忆。,187065,8.7,借东西的小人阿莉埃蒂
115,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,183731,8.6,雨人
116,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,356355,8.5,贫民窟的百万富翁
117,岁月流逝，来日可追。,270030,8.6,岁月神偷
118,老少皆宜，这就是好莱坞动画的魅力。,327749,8.8,疯狂原始人
119,一个针管引发的血案。,238880,8.5,记忆碎片
120,电影诗。,217369,8.5,东邪西毒
121,时代悲歌。,62828,9.1,七武士
122,两张绝世的脸。 ,206978,8.5,倩女幽魂
123,童话世界的开端。,200801,8.6,哈利·波特与魔法石
124,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,109277,8.8,穿条纹睡衣的男孩
125,爱上未来的你。 ,158633,8.6,穿越时空的少女
126,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,127690,8.7,末代皇帝
127,不要给它起名字，起了名字就有感情了。,200865,8.6,怪兽电力公司
128,中国式内在的美国电影。,113933,8.8,魂断蓝桥
129,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,234133,8.5,恋恋笔记本
130,不可猜的青春迷笛。 ,212283,8.5,猜火车
131,当这个世界闭上双眼，他却敞开了怀抱。,99144,8.8,卢旺达饭店
132,关于连环杀人悬案的集体回忆。,168788,8.6,杀人回忆
133,黑暗之美。,365698,8.5,黑天鹅
134,,288307,8.7,消失的爱人
135,恐怖分子的“秋菊打官司”。,165750,8.7,恐怖直播
136,爱是摈弃傲慢与偏见之后的曙光。,254681,8.4,傲慢与偏见
137,坏人的好总是比好人的好来得更感人。,65878,9.0,完美的世界
138,任何信念的力量，都无法改变命运。,109133,8.7,教父3
139,青春就是放弃和怀念。,238612,8.4,秒速5厘米
140,跨度十五年的欢乐与泪水。,172098,8.8,玩具总动员3
141,梦的勾结。,98490,8.8,红辣椒
142,英雄泪短，兄弟情长。 ,121732,8.7,英雄本色
143,爱并不需要智商 。,86397,8.8,我是山姆
144,对爱的执着，可以超越一切。,164925,8.6,人工智能
145,骨灰级歌舞片。,77778,8.9,雨中曲
146,香港浪漫主义警匪动作片的巅峰之作。,117414,8.7,纵横四海
147,一个单凭体香达到高潮的男人。,238353,8.4,香水
148,松鼠才是角儿。,236598,8.4,冰川时代
149,天使与魔鬼的冲撞。,153106,8.6,撞车
150,触不到的恋人。,125874,8.8,萤火之森
151,世界离独裁只有五天。,107748,8.7,浪潮
152,中国家庭的喜怒哀乐忍。,108784,8.7,喜宴
153,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,98635,8.7,碧海蓝天
154,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,247068,8.5,朗读者
155,诺兰的牛逼来源于内心散发出的恐惧。,64252,9.0,追随
156,生命不止，摇滚不死。,150994,8.6,海盗电台
157,坚硬的信仰。,111379,8.6,可可西里
158,,90876,8.9,小森林 夏秋篇
